District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Bilaspur, HP,0.59,71,11333,619,12024,0.14,136828,35239,172067,0,172497,0,67127,70102,21,13581,64888,58766
Chamba, HP,1.22,121,8779,976,9883,0.17,134498,24087,158585,0,160069,0,67464,68503,22,19109,69848,47020
Hamirpur, HP,1.69,229,12500,827,13557,0.16,175333,34511,209844,0,210304,0,81777,94093,31,16163,83055,76680
Kangra, HP,2.18,959,39603,3361,43927,0.2,446731,86663,533394,0,536461,0,217195,232499,87,50770,216311,182636
Kinnaur, HP,1.19,36,2575,406,3017,0.42,29441,8729,38170,0,38871,0,15979,14235,5,6264,14241,9711
Kullu, HP,1.73,145,7698,551,8399,0.11,122008,28310,150318,0,150477,0,62111,60037,18,15888,63470,42794
Lahaul & Spiti, HP,0.66,17,2474,99,2590,0.27,9991,3355,13346,0,13567,0,5246,4964,2,2022,4922,3267
Mandi, HP,1.36,348,24201,1025,25574,0.09,315280,73600,388880,0,388880,0,149083,166165,58,35852,151313,128066
Shimla, HP,2.35,565,22187,1268,24024,0.14,261382,53696,315078,0,315078,0,137330,124025,51,44070,130991,86310
Sirmaur, HP,1.27,188,13706,864,14758,0.14,412017,23933,135950,0,135950,0,61863,50803,14,23238,53825,35621
Solan, HP,1.31,284,20227,1141,21652,0.18,171840,23490,195330,0,195330,0,100344,71716,21,36827,89800,45430
Una, HP,1.78,224,11456,889,12571,0.14,167215,38516,205731,0,205731,0,83601,83591,45,17822,81330,68049
