District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Bishnupur, MN,1.69,47,58,2682,2787,1,33279,4248,37527,0,39160,0,18633,16270,9,10445,14507,9940
Chandel, MN,1.94,11,4,553,568,0.61,10522,4139,14661,0,15041,0,6888,4014,0,5549,3750,1603
Churachandpur, MN,1.85,59,58,3074,3191,1.35,35106,6692,41798,0,43528,0,19950,16874,6,16469,12873,7480
Imphal East, MN,1.82,210,150,11162,11522,2.51,91993,14139,106132,0,108313,0,51140,43006,21,30831,41692,21647
Imphal West, MN,1.57,282,52,17629,17963,2.91,107967,16320,124287,0,126034,0,60047,49573,52,40411,44199,25024
Jiribam, MN,0.24,1,2,419,422,0.69,6399,1704,8103,0,8470,0,4575,2206,2,3748,2278,791
Kakching, MN,1.9,40,27,2036,2103,0.82,24470,2732,27202,0,27349,0,13002,11604,11,7719,10151,6738
Kamjong, MN,0.59,2,17,322,341,0.42,3746,538,4284,0,4284,0,2235,1511,0,2271,1026,445
Kangpokpi, MN,1.98,18,19,873,910,0.39,10999,2242,13241,0,13345,0,5793,5294,1,4456,4484,2139
Noney, MN,0.47,2,18,403,423,0.8,6317,1930,8247,0,8247,0,4243,2072,2,3341,2022,951
Pherzawal, MN,0,0,15,62,77,0.09,5039,723,5762,0,5762,0,2555,2487,0,2388,1550,1099
Senapati, MN,0.41,4,21,952,977,0.53,7775,2588,10363,0,10363,0,5004,2771,0,4459,2313,998
Tamenglong, MN,0.4,7,32,1704,1743,1.35,7070,1905,8975,0,8975,0,4421,2649,0,3413,2485,1172
Tengnoupal, MN,0.52,2,13,371,386,0.53,8336,2761,11097,0,11097,0,5569,2766,1,4800,2604,924
Thoubal, MN,1.8,67,23,3629,3719,1.61,44335,5919,50254,0,50254,0,23623,20708,4,13985,18993,11347
Ukhrul, MN,1.29,12,18,903,933,0.69,9951,2222,12173,0,12173,0,6170,3781,1,5240,3080,1629
