District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Anjaw, AR,0,0,376,108,484,0.29,3778,1252,5030,0,5092,0,2124,1837,0,1487,1803,668
Changlang, AR,0.31,7,1838,416,2261,0.24,25595,4500,30095,0,31250,0,15477,11467,3,11013,11299,4640
Dibang Valley, AR,0.57,1,93,82,176,0.6,1857,877,2734,0,2797,0,1138,783,0,1058,624,251
East Kameng, AR,0,0,380,100,480,0.18,9000,1834,10834,0,11193,0,5020,4630,3,3335,5037,1313
East Siang, AR,0.62,10,1418,180,1608,0.2,20352,8481,28833,0,29604,0,10882,10236,4,7244,9464,4411
Kamle, AR,0,0,96,41,137,0.2,2270,537,2807,0,2823,0,1237,1049,0,749,1133,403
Kra Daadi, AR,0,0,52,16,68,0.05,2925,728,3653,0,3681,0,1542,1411,0,1406,1046,500
Kurung Kumey, AR,0,0,125,34,159,0.04,4604,1942,6546,0,6624,0,2218,2402,62,2206,1501,975
Lepa Rada, AR,0.25,1,346,57,404,0.29,5560,2514,8074,0,8183,0,3140,2628,0,1990,2511,1268
Lohit, AR,0.52,6,941,201,1148,0.3,8946,2017,10963,0,11167,0,5504,3643,3,3456,4265,1429
Longding, AR,0,0,278,28,306,0.05,5202,1664,6866,0,7046,0,3790,1747,0,3227,1757,611
Lower Dibang Valley, AR,0.47,7,1241,235,1483,0.39,10461,2566,13027,0,13585,0,5913,5104,1,4366,4802,1851
Lower Siang, AR,0.49,2,389,15,406,0.04,5251,1093,6344,0,6681,0,2931,2657,0,1678,2810,1100
Lower Subansiri, AR,0.26,3,864,306,1173,0.54,11019,4059,15078,0,15592,0,5965,5830,2,5103,4631,2108
Namsai, AR,0.62,7,819,298,1124,0.35,19405,4519,23924,0,23924,0,10475,8930,0,5445,9818,4137
Pakke Kessang, AR,0,0,169,17,186,0.04,4357,1379,5736,0,5736,0,2288,2094,3,1412,2446,528
Papum Pare, AR,0.48,48,9134,796,9978,0.37,67072,12167,79239,0,79239,0,39583,27924,11,42157,20723,4636
Shi-Yomi, AR,0,0,111,12,123,0.05,2668,1434,4102,0,4102,0,1320,1348,0,706,1288,674
Siang, AR,0.59,1,137,32,170,0.08,5731,1577,7308,0,7308,0,2898,2832,1,1509,2734,1488
Tawang, AR,0.66,9,913,436,1358,0.77,12152,4242,16394,0,16394,0,7043,6134,5,5564,4987,2709
Tirap, AR,0.43,3,685,17,705,0.03,7726,2555,10281,0,10281,0,4865,2959,1,3657,3040,1134
Upper Siang, AR,0,0,463,74,537,0.19,8186,2673,10859,0,10859,0,4273,3912,1,2541,3569,2075
Upper Subansiri, AR,0.37,3,659,142,804,0.15,12027,3098,15125,0,15125,0,6311,5931,2,3488,7045,1714
West Kameng, AR,0.39,6,1325,225,1556,0.26,18775,6745,25520,0,25520,0,11006,8095,2,6936,8356,3809
West Siang, AR,0.35,4,1114,9,1127,0.02,14669,4143,18812,0,18812,0,7943,7183,2,5014,6671,3452
