District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Anantapur, AP,0.66,928,135828,4001,140757,0.09,625968,193537,819505,104637,718246,0,319956,308956,244,74528,317478,237114
Chittoor, AP,0.68,1325,175145,17706,194176,0.37,736731,232107,968838,164194,812836,0,368729,375848,93,110047,376325,258251
East Godavari, AP,0.43,983,199996,29791,230770,0.49,774265,253387,1027652,188094,846006,0,414503,366171,108,121975,399460,259197
Guntur, AP,0.64,962,141652,8732,151346,0.15,731050,219052,950102,220859,741944,0,391764,353430,89,137033,377782,231346
Krishna, AP,1.09,990,80135,9826,90951,0.19,753574,249264,1002838,249134,761165,0,401140,370688,111,132606,416378,227707
Kurnool, AP,0.64,746,112020,3765,116531,0.08,562873,177539,740412,106362,641901,0,280258,290505,63,70193,310497,190105
Prakasam, AP,0.74,814,91129,17439,109382,0.45,568882,191142,760024,157463,602561,0,294029,285173,79,75463,304052,202232
Sri Potti Sriramulu Nellore, AP,0.7,838,107734,11260,119832,0.34,569985,195641,765626,79866,685760,0,288024,286905,124,76497,319692,179258
Srikakulam, AP,0.54,597,102266,7840,110703,0.25,498520,126695,625215,92265,532291,659,241025,257441,52,55912,258381,184176
Visakhapatnam, AP,0.68,957,127895,10963,139815,0.23,783636,226467,1010103,198647,810703,753,410826,374326,111,194843,380893,209472
Vizianagaram, AP,0.77,579,70603,3944,75126,0.15,409770,110805,520575,84824,435751,0,199319,210869,51,52654,224579,132965
West Godavari, AP,0.63,902,132323,10911,144136,0.24,623095,216370,839465,190427,649038,0,321197,322607,72,68416,327292,248593
Y.s.r., AP,0.58,560,91975,3946,96481,0.12,546854,177921,724775,109166,615609,0,270680,276155,103,56693,300812,189356
