District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
East Garo Hills, ML,0.3,2,512,143,657,0.11,16644,4389,21033,0,21033,0,9165,7478,1,6018,8346,2277
East Jaintia Hills, ML,0.81,11,1148,194,1353,0.12,20539,2730,23269,0,23279,0,12527,8019,3,9415,8107,3027
East Khasi Hills, ML,2.26,494,18514,2863,21871,0.31,118455,23072,141527,0,142503,0,63750,55678,11,48993,49840,20598
North Garo Hills, ML,1.01,5,303,188,496,0.11,14946,3643,18589,0,18589,0,7136,7810,0,3092,8586,3266
Ri Bhoi, ML,0.36,15,3465,730,4210,0.24,32840,4181,37021,0,37021,0,18204,14631,5,14699,13023,5115
South Garo Hills, ML,0.79,4,402,101,507,0.06,15445,3625,19070,0,19070,0,8335,7117,1,4980,7960,2511
South West Garo Hills, ML,0.6,6,557,433,996,0.08,24506,4397,28903,0,28903,0,11897,12601,8,4966,13316,6221
South West Khasi Hills, ML,0.59,3,224,278,505,0.2,16149,1360,17509,0,17509,0,8785,7372,2,8336,5060,2762
West Garo Hills, ML,0.86,30,2709,743,3482,0.29,70049,16234,86283,0,86283,0,34938,35103,7,15745,35902,18398
West Jaintia Hills, ML,2.24,45,1411,551,2007,0.19,33894,5136,39030,0,39030,0,15877,18015,2,14859,13137,5891
West Khasi Hills, ML,0.63,5,589,195,789,0.06,37804,5695,43499,0,43499,0,18451,19358,1,15965,14580,7264
