District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Alappuzha, KL,0.41,709,156550,16587,173884,0.67,529028,144392,673420,61219,620582,0,248746,289608,78,66611,201434,271003
Ernakulam, KL,0.29,909,280815,31881,313654,0.83,877114,237025,1114139,110693,1027877,0,422095,473269,105,153844,330184,412290
Idukki, KL,0.09,68,63911,9468,73453,0.8,277654,65424,343078,27797,319191,0,135423,145632,64,34049,124625,122417
Kannur, KL,0.45,648,137942,6091,144722,0.21,567653,156129,723782,52023,692890,0,282506,310645,97,89884,237290,266319
Kasaragod, KL,0.22,158,65715,7270,73153,0.5,339402,85997,425399,28995,403289,0,170943,175976,47,40627,171688,134370
Kollam, KL,0.27,532,187314,6187,194058,0.2,609505,176886,786391,60000,742023,0,291907,333738,117,93081,242329,290690
Kottayam, KL,0.25,462,174922,7243,182639,0.32,511799,129357,641156,44904,612916,0,245903,284462,80,76850,200411,253084
Kozhikode, KL,0.35,1001,268050,14575,283665,0.41,686643,184020,870663,59538,825350,0,342628,365068,116,107144,296072,306863
Malappuram, KL,0.22,671,262596,35965,299256,0.77,635961,139959,775920,54241,721679,0,328734,308736,93,104530,279904,253368
Palakkad, KL,0.38,674,158232,17651,176569,0.55,499198,149312,648510,39949,608561,0,238900,260221,79,76637,189513,232563
Pathanamthitta, KL,0.29,308,96174,10023,106515,0.77,453685,139826,593511,44645,548866,0,206773,247778,69,54124,169737,230639
Thiruvananthapuram, KL,0.75,1918,240656,13541,256214,0.35,956224,278900,1235124,106193,1128909,22,458669,505887,147,189232,365728,409494
Thrissur, KL,0.45,1093,229113,10565,240794,0.29,737858,172298,910156,55299,854857,0,350381,393414,139,101195,297531,345179
Wayanad, KL,0.3,175,54330,4303,58817,0.46,277881,83205,361086,28311,332775,0,132996,145885,43,32896,138127,107669
