District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Almora, UK,1.22,136,9327,1138,11171,0.16,160071,44205,204276,13837,192376,0,75189,86912,29,28566,65737,67918
Bageshwar, UK,0.85,46,4339,1028,5438,0.34,80332,26825,107157,2349,106366,0,39632,43539,22,20932,32411,30087
Chamoli, UK,0.47,55,9212,2160,11609,0.5,116039,38248,154287,2348,154024,0,59067,60697,34,26227,52139,41596
Champawat, UK,0.71,51,6250,750,7215,0.2,79688,19397,99085,2404,96843,0,40524,40064,24,23320,32444,25094
Dehradun, UK,2.93,3192,102178,2812,108762,0.14,480262,155972,636234,33689,610170,0,259141,233526,75,115032,207129,171880
Haridwar, UK,171,848,40244,7373,49642,0.34,322810,90870,413680,13089,405153,0,189390,141647,45,86310,137329,108431
Nainital, UK,2.33,883,35481,1476,37967,0.13,232740,67998,300738,11705,289033,0,122048,112256,91,58903,98585,77233
Pauri Garhwal, UK,1.53,262,13463,2825,17153,0.4,171525,46531,218056,2380,215676,0,81054,90443,36,28511,70850,72150
Pithoragarh, UK,1.24,116,7355,1874,9357,0.35,105091,28658,133749,4788,128961,0,51612,53540,29,24686,43870,36561
Rudraprayag, UK,0.85,71,7179,1005,8369,0.29,76709,19721,96430,2297,94133,0,36292,41645,27,22958,29177,25839
Tehri Garhwal, UK,0.45,69,12817,1555,15328,0.24,137813,41134,178947,2335,176612,0,64419,73703,21,24810,58512,54798
Udham Singh Nagar, UK,1.93,713,33170,2099,36985,0.12,258201,62304,320505,12699,307806,0,146286,114802,55,76998,107556,76512
Uttarkashi, UK,0.61,73,10640,929,11970,0.25,99056,44737,143793,2352,141441,0,50676,49723,25,24146,41457,34938
